,City,Country,Latitude,Longitude,Max Temperature (F),Humidity,Cloudiness,Windspeed (mph),Date
0,Chui,UY,-33.6971,-53.4616,58.21,87,0,9.33,1667785416
1,Ancud,CL,-41.8697,-73.8203,48.9,87,9,3.51,1667785416
2,Sinnamary,GF,5.3833,-52.95,77.79,87,100,7.18,1667785416
3,Puerto Quijarro,BO,-17.7833,-57.7667,74.14,32,0,3.67,1667785417
4,Oga,IT,46.4631,10.347,35.02,56,40,2.46,1667785417
5,Kruisfontein,ZA,-34.0033,24.7314,63.88,84,99,3.22,1667785418
6,Saskylakh,RU,71.9167,114.0833,-23.76,100,50,2.71,1667785418
7,Huilong,CN,31.8111,121.655,65.93,61,0,11.48,1667785418
8,Buala,SB,-8.145,159.5921,81.75,80,87,10.8,1667785419
9,Norman Wells,CA,65.282,-126.8329,3.24,85,20,4.61,1667785419
10,Byron Bay,AU,-28.65,153.6167,75.94,56,28,9.75,1667785419
11,Aripuanã,BR,-9.1667,-60.6333,78.49,49,35,1.81,1667785420
12,Bud,US,39.447,-86.1758,57.04,70,0,5.17,1667785420
13,Beringovskiy,RU,63.05,179.3167,30.51,97,100,1.19,1667785420
14,Chifeng,CN,42.2683,118.9636,42.93,26,0,7.11,1667785421
15,Chunhuhub,MX,19.55,-88.6833,72.03,83,25,2.8,1667785421
16,Ponta do Sol,PT,32.6667,-17.1,68.72,87,28,1.45,1667785421
17,Hasaki,JP,35.7333,140.8333,64.29,53,100,9.44,1667785422
18,Meulaboh,ID,4.1363,96.1285,80.73,76,99,4.36,1667785422
19,Mataura,NZ,-46.1927,168.8643,65.48,45,92,8.66,1667785422
20,Alyangula,AU,-13.8483,136.4192,86.68,62,21,8.1,1667785423
21,Thompson,CA,55.7435,-97.8558,12.36,85,100,10.36,1667785423
22,Port Alfred,ZA,-33.5906,26.891,66.18,84,100,8.99,1667785423
23,Ahipara,NZ,-35.1667,173.1667,65.3,60,81,11.56,1667785424
24,Guerrero Negro,MX,27.9769,-114.0611,65.01,76,45,11.18,1667785424
25,Port Blair,IN,11.6667,92.75,82.44,78,75,5.75,1667785424
26,Vaini,TO,-21.2,-175.2,80.76,69,20,11.5,1667785425
27,Bathsheba,BB,13.2167,-59.5167,81.21,83,20,18.41,1667785425
28,Souillac,MU,-20.5167,57.5167,71.98,83,40,3.44,1667785426
29,Punta Arenas,CL,-53.15,-70.9167,57.31,58,0,8.05,1667785337
30,Tutóia,BR,-2.7619,-42.2744,75.34,92,100,6.53,1667785426
31,East London,ZA,-33.0153,27.9116,66.67,80,100,18.23,1667785426
32,Lebu,CL,-37.6167,-73.65,51.17,89,34,10.94,1667785427
33,Lagan,RU,45.3929,47.3707,41.59,65,91,8.88,1667785427
34,Kavieng,PG,-2.5744,150.7967,85.46,66,100,7.2,1667785427
35,Albany,US,42.6001,-73.9662,68.72,88,78,1.01,1667784940
