city,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Windspeed,Date
0,Punta Arenas,CL,-53.15,-70.9167,62.71,48,0,19.57,1667755347
1,Atuona,PF,-9.8,-139.0333,76.68,69,93,10.69,1667755612
2,Cape Town,ZA,-33.9258,18.4232,73.11,68,0,6.91,1667755546
3,Albany,US,42.6001,-73.9662,71.26,83,100,1.01,1667755545
4,Nikolskoye,RU,59.7035,30.7861,35.49,96,100,7.4,1667755613
5,Bluff,NZ,-46.6,168.3333,48.22,78,76,12.35,1667755613
6,Maragogi,BR,-9.0122,-35.2225,80.1,80,64,9.62,1667755614
7,Hilo,US,19.7297,-155.09,75.61,86,0,6.91,1667755502
8,Gunnedah,AU,-30.9833,150.25,56.19,82,22,5.19,1667755614
9,Wanning,CN,18.8003,110.3967,72.66,90,94,7.61,1667755614
10,Ushuaia,AR,-54.8,-68.3,47.86,81,75,3.44,1667755519
11,Nantucket,US,41.2835,-70.0995,71.15,82,75,12.66,1667755526
12,Mar del Plata,AR,-38.0023,-57.5575,77.83,79,0,25.99,1667755615
13,Lincoln,US,40.8,-96.667,56.97,41,0,14.97,1667755615
14,Kjøllefjord,NO,70.9457,27.3465,39.25,65,75,11.5,1667755616
15,Bethel,US,41.3712,-73.414,75.02,71,75,11.5,1667755616
16,Tamiahua,MX,21.2667,-97.45,82.26,66,0,7.54,1667755616
17,Nardaran,AZ,40.5561,50.0056,51.44,62,75,23.02,1667755617
18,Serro,BR,-18.6047,-43.3794,71.62,61,58,4.29,1667755617
19,Bredasdorp,ZA,-34.5322,20.0403,66.47,81,51,12.1,1667755618
20,Mataura,NZ,-46.1927,168.8643,38.91,97,23,3.4,1667755618
21,Saskylakh,RU,71.9167,114.0833,-24.38,100,39,3.4,1667755618
22,Severo-Kuril'sk,RU,50.6789,156.125,35.02,67,79,12.41,1667755619
23,Mayumba,GA,-3.432,10.6554,75.78,91,100,5.66,1667755619
24,Helong,CN,42.5397,128.9972,34.74,56,96,5.06,1667755619
25,Puerto Ayora,EC,-0.7393,-90.3518,78.76,72,33,11.03,1667755620
26,Souillac,MU,-20.5167,57.5167,73.78,78,40,6.91,1667755620
27,Dakar,SN,14.6937,-17.4441,92.28,51,0,4.61,1667755500
28,Hermanus,ZA,-34.4187,19.2345,70.81,70,42,14.58,1667755621
29,Powell,US,40.1578,-83.0752,68.92,64,40,16.11,1667755366
30,Marzuq,YE,14.4,46.4667,69.35,71,1,6.51,1667755621
31,Havelock,US,34.8791,-76.9013,82.38,68,20,11.5,1667755621
32,Rikitea,PF,-23.1203,-134.9692,71.44,71,95,12.39,1667755392
33,Great Yarmouth,GB,52.6083,1.7305,53.85,86,100,20.54,1667755622
34,Benghazi,LY,32.1167,20.0667,71.01,65,44,20.18,1667755622
35,Wattegama,LK,6.7989,81.4808,72.81,94,100,3.71,1667755623
36,Yellowknife,CA,62.456,-114.3525,-6.45,77,20,8.05,1667755623
37,Kawalu,ID,-7.3817,108.2082,72.46,98,100,0.87,1667755623
38,Nanortalik,GL,60.1432,-45.2371,32.58,90,100,3.98,1667755624
39,Bambous Virieux,MU,-20.3428,57.7575,73.65,78,40,6.91,1667755624
40,Hīt,IQ,33.6416,42.8251,69.21,30,0,1.95,1667755624
41,Rajpur,IN,22.3,74.35,76.93,37,24,3.36,1667755625
42,Muzaffarabad,PK,34.37,73.4711,59.72,80,100,4.97,1667755625
43,Hithadhoo,MV,-0.6,73.0833,81.39,75,99,8.01,1667755625
44,East London,ZA,-33.0153,27.9116,68.94,77,0,12.66,1667755626
45,Faanui,PF,-16.4833,-151.75,78.98,79,100,20.69,1667755609
46,Opuwo,NA,-18.0607,13.84,76.35,26,87,18.77,1667755626
47,Bairnsdale,AU,-37.8333,147.6167,55.06,94,93,4.03,1667755627
48,Bam,IR,29.106,58.357,67.23,35,28,1.25,1667755627
49,Dunedin,NZ,-45.8742,170.5036,48.79,83,6,5.61,1667755627
50,Acaraú,BR,-2.8856,-40.12,86.85,61,89,18.23,1667755628
51,Gorontalo,ID,0.5412,123.0595,75.92,93,99,2.39,1667755628
52,Nadym,RU,65.5333,72.5167,13.66,93,99,4.68,1667755628
53,Ulladulla,AU,-35.35,150.4667,57.36,88,86,4.7,1667755629
54,Sioux Lookout,CA,50.1001,-91.917,32.07,100,100,6.91,1667755629
55,Vaini,TO,-21.2,-175.2,69.96,88,20,4.61,1667755630
