,City,Country,Latitude,Longitude,Max Temperature (F),Humidity,Cloudiness,Windspeed (mph),Date
0,Saint-Augustin,CA,51.226,-58.6502,51.64,83,77,24.14,1667865398
1,Aksu,CN,41.1231,80.2644,42.4,42,26,1.83,1667865399
2,Lebu,CL,-37.6167,-73.65,54.81,81,54,9.93,1667865399
3,Mahébourg,MU,-20.4081,57.7,71.89,83,20,3.44,1667865399
4,Balkanabat,TM,39.5108,54.3671,42.24,56,0,4.18,1667865400
5,Mataura,NZ,-46.1927,168.8643,65.48,41,70,4.5,1667865290
6,Rikitea,PF,-23.1203,-134.9692,73.56,92,100,21.43,1667865289
7,Souillac,MU,-20.5167,57.5167,71.98,83,20,3.44,1667865036
8,Yangi Marg`ilon,UZ,40.4272,71.7189,48.92,81,75,4.61,1667865400
9,Valparaíso,CL,-33.0393,-71.6273,61.03,82,100,5.75,1667865401
10,Punta Arenas,CL,-53.15,-70.9167,59.11,63,75,20.71,1667865293
11,College,US,64.8569,-147.8028,20.8,68,100,3.0,1667865401
12,Jamestown,US,42.097,-79.2353,48.02,59,0,5.75,1667865242
13,Butaritari,KI,3.0707,172.7902,80.26,75,61,6.29,1667865371
14,Broken Hill,AU,-31.95,141.4333,74.44,39,37,7.29,1667865367
15,Gaza,PS,31.5,34.4667,67.87,63,3,12.3,1667865278
16,Dikson,RU,73.5069,80.5464,5.25,94,100,9.42,1667865373
17,Klaksvík,FO,62.2266,-6.589,49.12,91,98,33.4,1667865106
18,Shingū,JP,33.7333,135.9833,63.37,59,0,4.09,1667865402
19,Puerto Ayora,EC,-0.7393,-90.3518,67.55,84,83,5.01,1667865403
20,Beaumont,US,30.0861,-94.1019,78.78,70,0,3.44,1667865186
21,Makakilo City,US,21.3469,-158.0858,82.44,68,68,19.15,1667865403
22,Saldanha,ZA,-33.0117,17.9442,60.3,86,48,6.42,1667865403
23,Batesville,US,35.7698,-91.641,61.95,62,100,6.91,1667865106
24,Santa Isabel Rio Negro,BR,-0.4139,-65.0192,73.98,97,100,0.74,1667865404
25,Cabo San Lucas,MX,22.8909,-109.9124,81.18,65,7,7.0,1667865007
26,Kouroussa,GN,10.65,-9.8833,80.89,52,100,1.7,1667865405
27,Haines Junction,CA,60.7522,-137.5108,-0.45,71,21,1.14,1667865405
28,Barrow,US,71.2906,-156.7887,24.3,88,100,15.17,1667865405
29,Ushuaia,AR,-54.8,-68.3,60.46,51,75,18.41,1667865405
30,Rocha,UY,-34.4833,-54.3333,53.67,94,0,6.58,1667865406
31,Puerto Escondido,MX,15.85,-97.0667,81.55,81,72,4.21,1667865227
32,Awjilah,LY,29.1081,21.2869,63.28,75,40,9.51,1667865337
33,Avarua,CK,-21.2078,-159.775,75.25,73,75,8.05,1667865291
34,Tuktoyaktuk,CA,69.4541,-133.0374,1.4,78,40,9.22,1667865407
35,Nikolskoye,RU,59.7035,30.7861,39.09,94,100,8.08,1667865372
36,Clyde River,CA,70.4692,-68.5914,10.63,72,75,0.0,1667865407
37,Bathsheba,BB,13.2167,-59.5167,83.01,78,40,17.27,1667865408
38,Kapaa,US,22.0752,-159.319,82.11,72,60,8.01,1667865408
39,Khatanga,RU,71.9667,102.5,5.95,96,100,5.41,1667865409
40,Tanete,ID,-3.9443,119.7848,77.94,87,100,5.64,1667865409
41,Carnarvon,AU,-24.8667,113.6333,68.47,58,34,14.16,1667865409
42,Torbay,CA,47.6666,-52.7314,61.57,95,100,25.32,1667865410
43,George Town,MY,5.4112,100.3354,81.23,89,20,0.0,1667865342
44,Suntar,RU,62.1444,117.6319,15.19,96,100,3.58,1667865368
45,Beitbridge,ZW,-22.2167,30.0,76.26,62,100,11.16,1667865410
46,Busselton,AU,-33.65,115.3333,60.51,71,25,11.54,1667865289
47,Salekhard,RU,66.53,66.6019,21.34,95,100,4.29,1667865411
48,Haysville,US,37.5645,-97.3523,60.3,52,100,10.36,1667865411
49,Camargo,MX,27.6667,-105.1667,76.28,22,29,12.44,1667865411
50,Hermanus,ZA,-34.4187,19.2345,52.81,86,27,7.47,1667865412
51,Bluff,NZ,-46.6,168.3333,65.8,67,63,6.17,1667865412
52,Bethel,US,41.3712,-73.414,69.67,40,5,9.57,1667865211
53,Ubari,LY,26.5921,12.7805,58.06,43,0,5.32,1667865413
54,Hong Kong,HK,22.2855,114.1577,72.25,90,98,13.0,1667865107
55,New Norfolk,AU,-42.7826,147.0587,72.72,31,79,2.55,1667865365
56,Umm Kaddadah,SD,13.6017,26.6876,75.47,21,26,15.64,1667865413
57,Te Anau,NZ,-45.4167,167.7167,64.74,48,55,3.85,1667865413
58,Tocopilla,CL,-22.092,-70.1979,64.24,68,11,3.56,1667865414
59,Tuatapere,NZ,-46.1333,167.6833,64.6,50,98,4.79,1667865414
60,Katherine,AU,-14.4667,132.2667,88.12,51,41,10.36,1667865385
61,Saint-Philippe,RE,-21.3585,55.7679,71.19,78,59,7.99,1667865415
62,Turukhansk,RU,65.8167,87.9833,17.35,95,100,11.99,1667865415
63,Tumut,AU,-35.3,148.2167,68.61,64,18,5.91,1667865415
64,Dingle,PH,10.9995,122.6711,81.32,85,88,6.85,1667865262
65,Skorodnoye,RU,51.071,37.2276,36.43,75,100,6.78,1667865416
66,Port Elizabeth,ZA,-33.918,25.5701,63.32,87,100,4.0,1667865416
67,Chui,UY,-33.6971,-53.4616,58.66,84,10,9.48,1667865416
68,Kemijärvi,FI,66.7131,27.4306,23.0,98,40,1.86,1667865417
69,Lorengau,PG,-2.0226,147.2712,86.38,66,85,5.01,1667865417
70,Tawao,MY,4.2498,117.8871,77.13,94,100,3.2,1667865418
71,Hilo,US,19.7297,-155.09,81.1,82,100,4.0,1667865418
72,Poum,NC,-20.2333,164.0167,78.17,80,100,13.09,1667865418
73,Tena,EC,-0.9833,-77.8167,74.43,82,80,3.38,1667865419
74,Husavik,IS,66.0449,-17.3389,39.61,93,100,12.24,1667865419
75,Qaanaaq,GL,77.484,-69.3632,-1.07,98,100,6.13,1667865419
76,Pemba,MZ,-12.974,40.5178,76.78,86,76,9.98,1667865420
77,Saint-Pierre,RE,-21.3393,55.4781,71.28,68,0,4.61,1667865417
78,Saint Paul Harbor,US,57.79,-152.4072,36.52,97,100,18.63,1667865420
79,Aklavik,CA,68.2191,-135.0107,-0.4,85,40,4.61,1667865420
80,Hambantota,LK,6.1241,81.1185,77.27,84,99,3.74,1667865421
81,Hobart,AU,-42.8794,147.3294,73.06,54,0,8.05,1667865288
82,Chokurdakh,RU,70.6333,147.9167,-11.4,95,83,12.01,1667865421
83,Kutum,SD,14.2,24.6667,67.26,27,8,7.29,1667865124
84,Albany,US,42.6001,-73.9662,53.64,42,5,1.99,1667865199
85,Monrovia,LR,6.3005,-10.7969,77.61,85,95,3.83,1667865384
86,Aktash,RU,50.3,87.7333,22.33,83,100,4.41,1667865422
87,Christchurch,NZ,-43.5333,172.6333,63.41,63,40,8.05,1667865341
88,Nizhniy Chir,RU,48.3597,43.0865,36.01,77,99,8.86,1667865422
89,Iralaya,HN,15.0,-83.2333,78.51,79,10,10.56,1667865423
90,Laguna,US,38.421,-121.4238,60.06,55,100,12.66,1667865423
91,Birin,NP,26.8865,88.0718,51.85,84,15,4.16,1667865423
92,Mehamn,NO,71.0357,27.8492,33.71,93,75,8.05,1667865424
93,Manavālakurichi,IN,8.1333,77.3,76.87,80,34,2.82,1667865424
94,Port Alfred,ZA,-33.5906,26.891,64.18,90,100,3.0,1667865425
95,Upernavik,GL,72.7868,-56.1549,9.7,84,94,4.9,1667865370
96,Yulara,AU,-25.2406,130.9889,84.06,33,93,12.06,1667865393
97,Caucayá,CO,-0.1934,-74.7819,79.63,69,98,1.07,1667865426
98,Nemuro,JP,43.3236,145.575,46.35,63,98,4.18,1667865427
99,Dongsheng,CN,39.8161,109.9776,35.42,45,51,7.52,1667865427
100,Kumul,CN,42.8,93.45,42.58,34,100,0.29,1667865427
101,Gimli,CA,50.6336,-96.9907,28.42,80,97,8.05,1667865428
